Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Sentiment,Predicted_Close
400,2012-01-30,5.898,5.922,5.706,5.914,5.914,3645000,0,6.03679607031583
401,2012-01-31,5.98,6.0,5.774,5.814,5.814,4782000,0,6.083839335142073
402,2012-02-01,5.814,5.94,5.8,5.916,5.916,2616000,0,5.990319232632629
403,2012-02-02,5.944,6.176,5.922,6.05,6.05,4028500,0,6.017135086061785
404,2012-02-03,6.082,6.266,6.05,6.23,6.23,3822500,0,6.1338488894804755
405,2012-02-06,6.22,6.38,6.21,6.36,6.36,3260500,0,6.3259124088993985
406,2012-02-07,6.36,6.36,6.164,6.32,6.32,5108000,0,6.486956589248791
407,2012-02-08,6.32,6.402,6.258,6.386,6.386,3118500,0,6.483289718796556
408,2012-02-09,6.4,6.58,6.286,6.516,6.516,6385500,0,6.4953039366197345
409,2012-02-10,6.452,6.454,5.968,6.22,6.22,9371000,0,6.579582333111347
410,2012-02-13,6.31,6.412,6.18,6.298,6.298,5789500,0,6.374327023650864
411,2012-02-14,6.348,6.758,6.28,6.634,6.634,9054000,0,6.354949252968311
412,2012-02-15,6.62,6.882,6.454,6.72,6.72,13809000,-1,6.622332676432535
413,2012-02-16,6.7,6.902,6.508,6.836,6.836,11098500,0,6.810893291151132
414,2012-02-17,6.798,6.994,6.7,6.994,6.994,6883500,0,6.953379529577603
415,2012-02-21,6.974,6.974,6.762,6.9,6.9,5679000,0,7.081347345969647
416,2012-02-22,6.9,6.944,6.5,6.844,6.844,8273000,0,7.011960020948692
417,2012-02-23,6.798,6.994,6.712,6.906,6.906,4102000,0,6.9108229639632555
418,2012-02-24,6.846,6.904,6.654,6.75,6.75,4799500,0,6.912611681257033
419,2012-02-27,6.682,6.8,6.6,6.724,6.724,3030000,0,6.80698792505973
420,2012-02-28,6.728,6.888,6.634,6.762,6.762,3061000,0,6.764953068656041
421,2012-02-29,6.762,6.824,6.628,6.682,6.682,2678500,0,6.794302938251377
422,2012-03-01,6.702,6.9,6.662,6.882,6.882,3517500,0,6.759616728729611
423,2012-03-02,6.88,6.9,6.742,6.808,6.808,2750000,0,6.909347272195902
424,2012-03-05,6.87,6.88,6.692,6.754,6.754,2335000,0,6.904532641480159
425,2012-03-06,6.65,6.656,6.524,6.622,6.622,2869000,0,6.848843909734001
426,2012-03-07,6.624,6.662,6.582,6.624,6.624,1824500,0,6.708012234804272
427,2012-03-08,6.622,6.698,6.608,6.614,6.614,3166500,0,6.6607006623839595
428,2012-03-09,6.64,7.062,6.64,6.948,6.948,7767000,0,6.655125826818363
429,2012-03-12,6.938,7.258,6.92,7.202,7.202,9816500,0,6.937817689121772
430,2012-03-13,7.302,7.318,7.1,7.218,7.218,5008000,0,7.247936549929733
431,2012-03-14,7.2,7.2,6.96,7.058,7.058,4257500,0,7.347001676049871
432,2012-03-15,7.056,7.096,6.956,7.0,7.0,2858000,0,7.195005424011498
433,2012-03-16,6.98,7.178,6.966,7.064,7.064,3646500,0,7.043158231747583
434,2012-03-19,7.052,7.064,6.908,6.996,6.996,5078000,0,7.03454257678257
435,2012-03-20,6.996,7.04,6.914,6.992,6.992,2835000,0,7.008546552113074
436,2012-03-21,6.988,7.06,6.92,7.03,7.03,3036000,0,7.020635299823482
437,2012-03-22,6.994,7.03,6.86,6.88,6.88,2612000,0,7.06456321536308
438,2012-03-23,6.852,6.926,6.63,6.816,6.816,5853000,0,6.966228482137893
439,2012-03-26,7.118,7.618,7.008,7.48,7.48,15702500,0,6.876345438125782
440,2012-03-27,7.432,7.99,7.406,7.588,7.588,12696000,0,7.369628949816104
441,2012-03-28,7.556,7.688,7.422,7.57,7.57,4775000,0,7.647342215651861
442,2012-03-29,7.638,7.638,7.406,7.466,7.466,3982000,0,7.698618778073353
443,2012-03-30,7.504,7.588,7.336,7.448,7.448,4432000,0,7.554075514759035
444,2012-04-02,7.466,7.594,7.306,7.316,7.316,5143000,0,7.440342906829926
445,2012-04-03,7.34,7.694,7.334,7.602,7.602,5490500,0,7.297603266786837
446,2012-04-04,7.054,7.098,6.938,7.0,7.0,22409000,0,7.5005034318105
447,2012-04-05,7.02,7.088,6.882,6.896,6.896,7547000,0,7.1314910541050835
448,2012-04-09,6.82,6.858,6.62,6.63,6.63,8278500,0,6.922240942688518
449,2012-04-10,6.63,6.77,6.42,6.492,6.492,9238500,0,6.654171844261697
450,2012-04-11,6.648,6.658,6.402,6.618,6.618,5527500,0,6.507571556059531
451,2012-04-12,6.754,6.896,6.584,6.688,6.688,5169500,0,6.609960715150578
452,2012-04-13,6.788,6.808,6.57,6.718,6.718,3248000,0,6.748407433688641
453,2012-04-16,6.682,6.74,6.418,6.45,6.45,5498000,0,6.8322237448793715
454,2012-04-17,6.486,6.614,6.408,6.448,6.448,5577500,0,6.627192025080603
455,2012-04-18,6.418,6.55,6.306,6.532,6.532,4115500,0,6.522447721552737
456,2012-04-19,6.55,6.686,6.5,6.632,6.632,3874500,0,6.553213659005621
457,2012-04-20,6.628,6.746,6.588,6.632,6.632,4109000,0,6.671954675357284
458,2012-04-23,6.572,6.594,6.342,6.388,6.388,4454000,0,6.727911714697484
459,2012-04-24,6.364,6.44,6.2,6.364,6.364,3372500,0,6.544955747499387
460,2012-04-25,6.414,6.598,6.414,6.582,6.582,3561000,0,6.441672229761423
461,2012-04-26,6.592,6.704,6.582,6.698,6.698,2126500,0,6.58304051987929
462,2012-04-27,6.72,6.726,6.582,6.668,6.668,2955000,0,6.753326406246515
463,2012-04-30,6.654,6.672,6.516,6.626,6.626,2069500,0,6.7936023573113005
464,2012-05-01,6.626,6.842,6.626,6.756,6.756,3295000,0,6.74542623819903
465,2012-05-02,6.7,6.878,6.678,6.788,6.788,2486500,0,6.803470114381952
466,2012-05-03,6.782,6.8,6.426,6.492,6.492,4206500,0,6.844744765935786
467,2012-05-04,6.464,6.492,6.28,6.366,6.366,6237500,0,6.626595785982687
468,2012-05-07,6.392,6.516,6.322,6.494,6.494,5790000,1,6.441389016189902
469,2012-05-08,6.5,6.546,5.874,6.038,6.038,15486000,0,6.490593647746124
470,2012-05-09,6.06,6.154,5.952,6.012,6.012,9739500,0,6.193249209611196
471,2012-05-10,6.594,6.936,6.48,6.592,6.592,27781500,0,6.089563230482156
472,2012-05-11,6.498,6.688,6.432,6.45,6.45,6106500,0,6.5325986921949095
473,2012-05-14,6.384,6.426,6.01,6.012,6.012,6904500,0,6.620782454777924
474,2012-05-15,6.052,6.192,5.844,5.886,5.886,7928500,0,6.285889859451231
475,2012-05-16,5.916,6.036,5.776,5.836,5.836,6285500,0,6.008310747412509
